"","team","wins","losses","ties","win_perc","offensive_rating","defensive_rating","rank","overall_rating","power_rating"
"1","A&amp;M-Corpus Christi",12,36,0,0.25,-2.8553089468127,-2.0713934914322,203,0.0328498680986427,0.320822778134987
"2","Abilene Christian",15,37,0,0.288461538461538,-2.12185967020082,-0.595053903894979,69,0.206056110295505,0.456081614502552
"3","Akron",29,24,0,0.547169811320755,0.123466413800423,0.536348728748157,189,0.456785922478446,0.651879538459458
"4","Alabama",37,21,0,0.637931034482759,1.97205950872383,2.22996855830206,16,0.726086466910853,0.862179570439131
"5","Alabama A&amp;M",17,25,0,0.404761904761905,-1.34339488183822,-1.73624745446296,296,0.166480519329276,0.425176559841954
"6","Alabama St.",17,34,0,0.333333333333333,-0.502828669396332,-1.78550041237895,183,0.221339400975308,0.468016519890476
"7","Alcorn",9,30,0,0.230769230769231,-2.16895744102751,-3.93066630076232,310,-0.0724217159780007,0.238614932827695
"8","App State",23,25,0,0.479166666666667,1.31226110910414,-0.256716834475558,79,0.474693012650337,0.665863400407264
"9","Arizona",42,10,0,0.807692307692308,2.92874858566328,1.61005120186566,28,0.742007520439383,0.874612512501156
"10","Arizona St.",34,18,0,0.653846153846154,0.479174581703982,1.12142968213183,36,0.529987515940595,0.709043542633675
"11","Ark.-Pine Bluff",11,29,0,0.275,-1.94063917688271,-2.07387226471408,299,0.0967619736557725,0.370732509550054
"12","Arkansas",39,11,0,0.78,4.0022895802128,2.1528394649779,11,0.862038818470253,0.968346395838289
"13","Army West Point",33,21,0,0.611111111111111,-0.502761173182201,0.604065274370476,239,0.418474948622311,0.621962038500078
"14","Auburn",32,22,0,0.592592592592593,0.878606381817124,1.22305908908071,3,0.566370989470148,0.737455834420619
"15","Austin Peay",38,15,0,0.716981132075472,1.41395179462408,1.56585551793258,167,0.632177182735065,0.788844681692505
"16","Ball St.",32,16,0,0.666666666666667,1.41505650384406,0.918001574048701,228,0.578808934972001,0.747168775559726
"17","Baylor",27,26,0,0.509433962264151,0.0926038536122152,0.89023612144569,25,0.483816989095951,0.672988423278415
"18","Bellarmine",7,34,0,0.170731707317073,-2.20289769031482,-0.206447389171373,116,0.232434179659677,0.476680565917743
"19","Belmont",36,14,0,0.72,0.0494114040308367,1.94113486184926,182,0.567484753869458,0.738325586426826
"20","Bethune-Cookman",22,29,0,0.431372549019608,-0.955696827221676,0.966777694335903,227,0.416647535189223,0.620534989385757
"21","Binghamton",33,12,0,0.733333333333333,1.07790005587767,1.20975931916389,221,0.57924390906389,0.747508452056211
"22","Boise St.",34,20,0,0.62962962962963,3.40610315338074,-0.0458107361284592,100,0.638866337904687,0.79406832336413
"23","Boston College",22,29,0,0.431372549019608,0.23560701858231,0.278106028647146,47,0.443342643628042,0.64138152042496
