"","team_name","rpi_coef","record","rpi_rank"
"1","A&M-Corpus Christi",0.406508004865385,"12-36-0",287
"2","Abilene Christian",0.477105974371863,"15-37-0",192
"3","Akron",0.505617013504734,"29-24-0",136
"4","Alabama",0.617643019826993,"37-21-0",18
"5","Alabama A&M",0.410200450721339,"16-25-0",281
"6","Alabama St.",0.442980814820992,"17-34-0",240
"7","Alcorn",0.361188370734892,"8-28-0",307
"8","App State",0.513926080279541,"23-25-0",122
"9","Arizona",0.620909160905446,"42-10-0",15
"10","Arizona St.",0.581084895566626,"34-18-0",37
"11","Ark.-Pine Bluff",0.419256838781387,"11-27-0",269
"12","Arkansas",0.65323018598439,"39-11-0",3
"13","Army West Point",0.497330188776209,"33-21-0",152
"14","Auburn",0.611979535113221,"32-22-0",19
"15","Austin Peay",0.532962353199972,"38-15-0",91
"16","BYU",0.565809008454896,"32-16-0",43
"17","Ball St.",0.506382773159473,"32-16-0",133
"18","Baylor",0.554665102652755,"27-26-0",58
"19","Bellarmine",0.436102015728459,"7-34-0",253
"20","Belmont",0.541660114521412,"36-14-0",69
"21","Bethune-Cookman",0.458151486364002,"22-29-0",218
"22","Binghamton",0.536794957113192,"33-12-0",85
"23","Boise St.",0.541035429332793,"34-20-0",70
"24","Boston College",0.523775112585624,"22-29-0",100
"25","Boston U.",0.510944012781913,"35-17-0",127
"26","Bowie St.",0.301319185918317,"0-2-0",317
"27","Bowling Green",0.440731590525813,"16-35-0",243
"28","Bradley",0.48260968816715,"24-29-0",180
"29","Brown",0.503814050318438,"30-15-0",140
"30","Bryant",0.433862313125333,"19-30-0",259
"31","Bucknell",0.456696776103994,"17-26-0",223
"32","Buffalo",0.448278330431974,"17-33-0",236
"33","Butler",0.502361007952058,"26-21-0",142
"34","CSU Bakersfield",0.43535183855055,"16-34-0",255
"35","CSUN",0.484044455093025,"23-23-0",177
"36","Cal Poly",0.415443963317645,"8-37-0",274
"37","Cal St. Fullerton",0.557440822022087,"36-15-0",53
"38","California",0.598616572294654,"34-18-0",26
"39","California Baptist",0.512557194126602,"25-28-0",123
"40","Campbell",0.488828652668152,"35-17-0",168
